기사 작성일,댓글 작성일,댓글 내용,좋아요,싫어요
20170101,20170101,혼이 나갔어 부역자 입을 빌어 토했구만,2728,37
20170101,20170101,한살더먹었음 나이값좀 해라 이냔아,1078,24
20170101,20170101,아무도 대통령이라  생각안하니   간담회를  하던지 말던지  관심없다,849,22
20170101,20170101,관저에서 노닥거리는게 정상근무냐?,3285,43
20170101,20170101,"오원춘 "" 벌레 한마리 못죽입니다""",888,18
20170101,20170101,관저면 군대로 보면 관사인데 관저에 쳐박혀있는게 근무냐?,992,19
20170101,20170101,감옥갈까봐 마음이 급했구먼~,2283,36
20170101,20170101,오리표 오리발!!,720,21
20170101,20170101,아이들이 죽어가는데 집안에서  집무를  봤단 말이냐?,3257,38
20170101,20170101,이 정도쯤 되면 인간이라 할수 없겠죠.. 온갖 안좋은 말을 갖다붙여도 부족할 정신이상자..,11055,181
20170101,20170101,이제와서 변명한들 궤변뿐이요 구차하다,8707,140
20170101,20170101,빨리  감방에  쳐 넣어야  저  상판 안보는데,2659,38
20170101,20170101,이젠 어떤 말도 놀랍지도 않다,2991,37
20170101,20170101,이말하기가 그리 힘들었나... 그만해라 그래도 대통령식이나 한 사람이... 부끄러운줄 알아야지,2324,33
20170101,20170101,"기억이 안난다면서.. 또 이렇게 말하구~ 참, 혼자만  자위! 혼자만  애국자! 조용히 사기길 바래요~.판단은  다음세대 몫!",778,22
20170101,20170101,야들은 비정상이라 쓰고 정상이라 읽는다...  정신병자년은 당장 정신병자수용소에 격리시켜라..,2351,32
20170101,20170101,"지나가며 짖는 개새끼를 믿지, 당신은 못믿어!!",814,22
20170101,20170101,이정도면 미친거다.. 정신적 문제가 심한것 같다,588,21
20170101,20170101,박 세금  그만 축내고 자살해라,282,19
20170101,20170101,조만간 죄수복 입을 준비나 해라 ㅋㅋㅋ,598,25
20170101,20170101,저건 진짜 사람의 탈을 쓴 개쓰레기다!!!,1534,47
20170101,ㅋㅋㅋ 응 ㅋㅋ 근데 왜 이렇게,웃기냐 ㅎㅎㅎㅎㅎㅎㅎㅎㅎ 감방에서,243,14
20170101,20170101,미용시술 안한거ㅠ말고..  뭐 햇는가 말해라.. 완전 새해 부터 개썅 열받네...무슨  국민이랑 말장난 하냐..,671,20
