,text
73,택배기사분들 힘들고 짜증나는건알지만 이건 잘못된거같습니다.그러면 택배일관두면 되는거지 5층에산다고해서 죄지은건아니잖아요 공짜로일하십니까?돈받잖아요.정신차리세요 택배기사님
74,지가 5층맨날왔다갔다해봐야 마음을 알지 딱봐도 부탁으로보이지않니
75,심정은 이해가 가는데 대놓고 문자하는것도 좀..
76,"주문한 사람도 이해가 가고
택배기사도 이해가 간다.
어쩔수 없는 일"
77,"일 골라할거면 때려치워
같은 논리면 1층에 사는 사람한텐 1층 살아줘서 감사하다고 문자 보내냐?
5층 걸어서 배달한다고 죽겠다고 문자질은 협박이지 부탁이냐?
쉴드칠걸 쳐라"
78,오죽 힘드셨으면 보내셨을까..라는 생각도 해봄
79,고객도 힘드니 돈주고 택배시키는건데 ㅋㅋㅋㅋㅋ워딩봐봐 정중하게 말야 ' 무거운건 한번에 시켜주시길 정중히 부탁드리겠습니다 ' 도 아니고 '죽으란것밖에 안대는데!' 라면서 고객 원망하는 말투 ㅋㅋㅋㅋㅋ 택배일은 자기가 선택해놓고 자기 힘든걸 고객탓하는 기사라니.....곧 짤릴듯
80,누가보면 공짜로 인하는줄 ㅋㅋ
81,한번에 주문해도 다같이오지 않는걸
82,"참 택배기사 마음도 이해가고 소비자 마음도 이해가고.... 
택배기사님 이왕이면 좀 덜 강경하게 문자 주셨으면 소비자도 한 번 더 신경쓸텐데.
엘베없는 4층 거주라 참 마음이 그렇네요."
83,"택배비를 올리면 됩니다. 2500원이 아니라 최소4000원으로 편의점 택배 가서 생각해서
가고 오는 노동력을 더해 요금인상을 하면 .,"
84,"저는 중식당 자영업자 입니다.
음식 주문건이 평균 하루 90콜 정도되는데
저희 동네는 엘베없는5층 저층 아파트가 많답니다.
기사3명있는데  무거운 음식든 배달 가방들고
수없이 배달가고 다 드시면 다시가서 찾아오고
수없이 반복합니다
택배기사님도 나름 고충이 있으시겠지만
저런식의 문자는 이해가 가질않네요
안힘든일이 어딧습니까..
정 그렇게 힘드시면  앉아서 하는일을 찾아보세요"
85,"택배해봐서 기사의 심정도 이해는 충분.
엘리베이터 없는 주택 
가볍던 무겁던
물론 무거운 물건 더 힘들지만..

한, 두 집이 아니라 정말 힘들긴 해요.

방법도 없고..."
86,5층 엘베없는건 택배기사 이해가 감 ㅋㅋㅋ
87,"엘베없는 5층 구식건물일때는
일반 계단보다 높낮이도 더높은거같음
진짜 생수6병묶음 두팩 들고올라가면 숨이 턱턱막히긴하더라"
88,술쳐먹고 노답인게 얼마나 많았는데 그걸 광고하고 있었으니 이게 옳은거지
89,술광고는 길거리에서 안하는 게 맞지
90,"원래 옥외광고물 불법 안닌가요?
보행하는데 걸리적 거리고......
주류광고물 아니라 어느 광고물이던지.....
당연한거 아닌가???"
91,어휴 ㅡㅡ 할짓거리가 그렇게 없냐
92,술광고는 주류 회사만 배불리는데 소상공인 허고. 무슨 관련
93,"우리나라만큼 술에 관대한 나라가  없음.
그로인해  사건사고도 많이 발생하는 중이고..
연예인 이용한 술광고는 제재하는게 맞아요!"
94,"슐로 사고치는놈을 조져야지
광고가 있던없던 술은 계속 먹을건데"
95,"청소년이 좋아하는 연예인들이
청소년 시기 음주 게임이 얼마나 유해할 줄 알텐데
버젓이 광고로 돈을 벌고
그러면서 
기부한다 청소년 위한다
정말 가식적이고 

연예인 이용한 유해환경물질에 대한 마케팅을 금지해야 한다"
96,쓰잘데기 없는 짓거리들 하고 자빠젔네
97,등신대 저거 가게 밖에 내 놓으면 불법 옥외 광고물로 알고 있는데요. 구청에 신고하면 되지만 신고하고 등신대 세우는 가게 못봤네요.
98,"선장은 바람 탓 하지만, 결론은 왜놈 조선소가 잘못 만든 탓!"
99,"일본하고 대만은 형제국처럼 지내는 사이좋은 나라다 혐한풍조는 두나라 똑같으니 참 잘 되었다
둘이 반반씩 물어내라"
100,"좋아하면 안되는데 난 왜이리 좋노 
일본회사에 파멸을"
101,우리 나라 남북 철도 이어지면 수에즈 운하 수입 줄어들겠네.  미안하지만 우리 부산항 수입이 늘어나 우리나라 부유국된다.
102,중국 조선소에 이어 일본 조선산업도 망테크 ㅎㅎㅎ
103,민폐종결국 일본
104,"세계적인 민폐국 

일본 중국"
105,"전당포 사나이들인가?..
그집 갔으면 백만원도 못받았음...
""우리도 언제 팔릴지 모르고 위험 부담이 크다면서...."""
106,"아... 어머니가 남긴 소중한 유산이라면서 팔아버리는구나.
돈앞엔 참...."
107,정말 마법같은 이야기네요..
108,당시 가난에 허덕이던 싱글맘 해리포터 작가.. 이렇게 대박날줄은 본인도 몰랐을텐데 ㅎㅎ 정말 명작
109,97년에 산 1500원 주식이 2021년 1억으로 껑충 뛸줄은 누가 알았겠누
110,일단 경매에 나와봐야지 지금은 걍 예상가
111,"교훈~~~
책을 읽자~~"
112,해리포터 초판 불과 500부만 인쇄했었구나
113,어느 나라 사람이든 버리지 않고 모아두면 돈이 되는것은 마찬가지네.
114,"외국기사 베껴쓰고,포털은 메인에 올려주고,

오세훈,박형준,박덕흠 부동산 투기했으니 사퇴하라는 기사를 써야 정상아닐까"
115,능력자만 받는다는 남편의 내조! 장교님 대한의 안전을 잘 부탁드립니다
116,대단하다..
117,"상 줄게 ㅇㅏ니라
장교 보직 구조 개선이 필요한듯
거의 일년에 한전 이사라.."
118,외조의 달인 짝짝짝!!
119,군대문화를 바꿔라 이것들아
120,애처가시네
121,"거의 1-2년 한번씩 이사다니던데..
애들도 솔직히 좀 안쓰럽긴 하더라.
학교에 좀 적응한다싶으면 이사하고..
또 이사하고.."
122,국가와 국민을 위해 헌신한 여러 국군장병 여러분과 많은 어려움에도 그 군인들의 버팀목이 되어주신 수많은 군인가족 분들께도 감사한마음을 가지도록 하겠습니다
123,"국방의 의무를 다하고 있는 여성을 위해 헌신하신
남편 분께 감사드립니다.

덕분에 발뻗고 편하게 잘 수 있습니다. 고맙습니다."
124,장교들 인간적으로 너무 돌아 다녀 가족들도 샹각해서 웬만하면 비슷한지역만 해줘요
125,군인이랑 결혼하신분들보면 대단하더라...
126,상금 100만원 아니라  500만원 이상이면  좋게다
127,저는 군인 아빠따라 이사 34번 했는데 ..
128,"우리 국군 및 군인가족들
선지국 수준의 존경 받아야 합니다.....
감사합니다

짝 짝 짝"
129,세금은 이런분들  보상해 드리라고 내는겁니다
130,사람들 공포 조장해서 나라랑 국민들한테 어떻게는 해를 입려는 기더기놈
131,이런 뉴스는 어떻게 잘 찾아 내서 싣는지 참. 최초의 사례란다. 어쩌라고 맞지 말라고? 벌써 다 맞았다. 별 이상 없이.
132,"화자도 부작용 많다던데
Az도 맞으면 안되고 모거나 얀센도 안되고
뭐 하자는 거야?
백신 맞지 말자고 국민들 겁주는 거야?"
133,"감기약 먹고도 저런 부작용 나와 
개소리 그만 떠들어 기래기야"
134,기자는 백신 주지마라
135,미국에서 의료계에서 일하기에 벌써 작년 12월에 모더나 맞고 여태까지 잘만 살고 있다. 내가 일하는 주 에 통계를 보면 나처럼 일찍 모더나 맞은 사람들 아무도 이상반응 없었다.
136,"독감주사도 부작용 있다

어떤 주사가 부작용 없이 100% 안전한지 알려주세요"
137,이지윤 기자 백신접종 하지마세요~
138,"약국가서
아무 약이나 사고
거기 설명서에 부작용 찾아서 읽어봐
기자는 아무약도 먹으면 안되"
139,언론은 사회의 악
140,"무슨 백신이던 부작용은. 있고 하물며 치료약들도 부작용이 있는데... 부작용때문에 기자는 항암치료 안할거??? 이 코로나는 내가 걸리면 얼마나 아플지 모른다.. 운좋음 무증상일수도 가볍게 지나갈수도 있지만 반대로 아주 안좋은 상황까지 갈수도 있다. 불확실하니까 무서운 거다..
백신이 그것보다 확률적으로 안전하니 맞는거다.."
141,백신 부작용에 대해 쓰면 왜 그게 정치적 논리로 해석이 되는지.. 당장 몸에 들어갈 성분이 뭔지 확인도 안하고 의사가 나보다 공부 잘했으니 맞으라면 그냥 맞는건가 자기 상식 따윈 없는건가 백신 첨가물이랍시고 넣는게 저런걸 일으키는게 그냥 당연하다고 생각하고 맞는건가 정말 대단한 믿음이군
142,"자연은 침묵하고 있지만 인간의 탐욕 에
침묵하지 않는다.
그대로 인간에게 다시 돌아갈것 이다.
자연과 인간은 하나이다.
자연이 멸망하면 인간도 멸망한다."
143,"한국놈들아 멀리 볼 것도 없어
느네 사는 한국 모든 유원지 호수 강 계곡 그리고 당신이 살고 있는 주택가 한 발치 걷다보면  담배꽁초로부터 시작해서 바람에 날리는 비닐조각들 한켠에 쌓아둔 검정비닐 음식쓰레기 . 그것두 옆구리 터져 내장나온 그런 것들을 쉽게 볼수 있을거야.   청소부만이 치우는 정도로는 감당못하게 버리는 한국수준을 멀리 보는  가증스런 눈으로 거울을 봐라. 그게 너의 모습이고 한국넘이라는 것을."
144,인간이 죽어야지 해결됨
145,"저지경이되도록........
인간이 지구를 죽여가고 있구나~"
146,ㅠㅠ 너무  심하다ㆍ지금부터라도 플라스틱  없애자요
147,재앙을 스스로 만드는 인간
148,"아무도 돕지마시길....

스스로 자각을 하여야된다봄.."
149,과학자님들  핵만들지말고 플라스틱 비닐  처리기술좀 만들어주세요~
150,쓰레기 매립지같다 조만간 인간으로인해 지구가 사라지지싶다
151,다죽어라 제발 인간은바이러스다 죽는게지구에득이된다
152,내 나이 50...딱 우리 세대까지만 만수를 누리지 싶다...후손들은 자연과 환경오염으로 재앙을 피할수 없을듯 싶구나...이제는 늦었다ㅜㅜ
153,지구 종말이 다가오네요.
154,그래도 니들은 잘 벌어봤잖아. 영원한건 없다.
155,그래도 임대료는 안내리더라  상인들만 죽을맛이지 건물주들은 해외로 여행다니더라
156,코로나때문에 노량진 노점이 망해가는건 팩트인데 그게 정부탓은 아니잔아? 노브레인것들이 그냥 헐뜯기만 하는데 그럼 택배 배달업 성행은 잘되는데 그것도 정부탓이냐??
157,영원할것만  같았던 노량진도  코로나 앞에선 장사 없구나 고시원 엄청 비쌌는데 이제 들어갈 사람도 없겠군
158,변화되는 세상에 누구를 원망하랴
159,다른덴 몰겟는데 컵밥집 같은 노점은 좀 망해야 된다.점포 얻어 정식으로 세금 내는 가게들 이용해야지 노점은 팔아주면 안됨
160,"그럼 코로나시기에 컵밥먹으러 가야하겠냐?
어지간이 해라...기렉아...니가 먹으렴..."
161,예전에 긁어모았을텐데 그걸로 조그만 기다리세요
162,"노량진은 거품이 심햇음
꺼질시기가 온거지.."
163,노량진 사는 사람인데 저 정도는 아닙니다 작년말보다 훨씬 유동인구도 많아지고 학생들도 늘었어요 오전 시간에는 컵밥 먹는 사람 없어여 오후 지나면 컵밥집 문 다 여는데 .. 글구 저 건물은 코로나 여파 이전에 이미 저렇게  아무 가게도 안 들어와있는 건물이었는데 무슨 소리인지
164,"코로나나 세태 변화 탓 하지 마라
노랑진, 신림9동 고시촌, 신촌 대학가
다 자업자득

다른 곳보다 얼마나 편하게 장사했나
모여든 고시생 공시생 대딩한테

치열하게 전 계층 상대로 
경쟁하고 변화하며 생존한 자영업은
최소한 이 시기에도 버텨낸다"
165,"세상은 변화한다
양지가 음지되고
음지가 양지된다"
166,코로나가 많은 걸 바꾸고 있네요.
